date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-07-14,102784375.5081884,-0.0006190734719113769,2822298839.8131847,1.5314180885263837,2777890.7185801486,0.0015216495403664334,94378508.69283676,8405866.815351639,0.02240467
2025-07-15,102700452.47806777,0.0007253896726044135,2979894886.553812,1.5332685144161067,2936372.4731995086,0.0015418856595255026,92681651.65987015,10018800.81819762,-0.012417734
2025-07-16,102159215.78339994,-0.004043361448348087,3106190777.0094395,1.2297500878352858,3062354.1175896158,0.0012266902564719584,92894888.74063492,9264327.042765025,-0.0029586554
2025-07-17,101998867.43027513,0.00018902414310485456,3286429228.986597,1.764289698144344,3242013.028938149,0.0017586167823512844,94073280.55610657,7925586.87416856,-0.0029673576
2025-07-18,103055939.59036437,0.012095535163144122,3461945147.2244263,1.7207634031604244,3418671.7564526782,0.0017319675400836224,93021392.89031029,10034546.700054081,0.0014880896
2025-07-21,104806175.6398448,0.018766699846419023,3645566765.9353256,1.781766479843611,3602455.592655299,0.001783340552064644,94630977.79254913,10175197.847295668,0.0014858246
2025-07-22,106350153.94473849,0.016561008399905278,3836268718.9194202,1.8195679006494947,3794173.2428950295,0.0018292590972744528,94335279.23641205,12014874.70832644,-0.018545985
2025-07-23,106454598.79653524,0.002361928999280567,3983919382.3606014,1.3883446141310072,3940919.9037783137,0.001379844367310803,96394475.86488724,10060122.931648001,0.007558584
2025-07-24,104905026.8013607,-0.013104990727805712,4138368190.514183,1.4508420481559172,4095405.3687919844,0.0014511863908193954,94926075.61454773,9978951.18681296,-0.02025503
2025-07-25,104273974.04104142,-0.005084115844418326,4235916771.879053,0.9298751865301921,4193108.820191335,0.0009313514745518683,94082986.23666763,10190987.804373788,0.00076568127
2025-07-28,104352072.13246286,0.0018819463663118385,4353614615.684891,1.1287365317016946,4311248.755317328,0.0011329762408354522,93395041.62290096,10957030.509561896,0.0007650852
2025-07-29,104404538.6997248,0.0012338569929899157,4430415388.917947,0.7359774622929038,4387537.721989021,0.0007310728489881173,94547410.27956009,9857128.420164708,-0.022171259
2025-07-30,105346092.6073498,0.01033793711007576,4567768752.913594,1.315588054947361,4525311.369448242,0.0013196135836150602,94786170.9074974,10559921.699852398,0.007036805
2025-07-31,104597555.94167727,-0.005790141042784345,4706400985.022855,1.3159693793862501,4663879.300617991,0.0013153590013653873,94304804.05201912,10292751.889658146,-0.0054347515
2025-08-01,104422952.22860514,0.00013435861970160164,4895077862.377572,1.8038363865779226,4852536.596930612,0.0018036491829485442,94358019.71945763,10064932.509147514,0.008587003
2025-08-04,104888886.58381775,0.006080581893743797,5063780920.968604,1.6155744976612363,5021554.554330528,0.0016185901067985312,94363174.41430092,10525712.16951684,0.016253829
2025-08-05,105176517.53654192,0.004537056076068557,5252019781.5632105,1.7946501934137975,5209810.36179353,0.0017948117631372254,94805167.43769646,10371350.098845465,0.04722011
2025-08-06,104581886.56660129,-0.004179165922819395,5408599909.525895,1.4887365700074955,5364891.21376463,0.0014744817151530016,97364169.30289268,7217717.263708612,0.0029090643
2025-08-07,104120152.38163823,-0.002590919912194833,5598108386.755252,1.8120583157454455,5555662.106367384,0.0018241293867008648,94568375.26373863,9551777.117899599,0.01015234
2025-08-08,103712434.45934209,-0.0023160001647308877,5764403600.438166,1.5971472369093482,5722237.738595841,0.0015998404575696076,93766395.88258266,9946038.576759433,0.017228961
2025-08-11,105012127.44948718,0.013965998740556455,5912741839.84046,1.430284036582388,5870992.47748997,0.0014342999435852976,94381844.62795258,10630282.821534606,-0.013408661
